sample	unit	fq1	fq2
MK_1	NSQ_1	data/MK_1_R1.fastq.gz	data/MK_1_R2.fastq.gz
MK_2	NSQsi_1	data/MK_2_R1.fastq.gz	data/MK_2_R2.fastq.gz
MK_3	HSQ_1	data/MK_3_R1.fastq.gz	data/MK_3_R2.fastq.gz
MK_4	HSQsi_1	data/MK_4_R1.fastq.gz	data/MK_4_R2.fastq.gz
MK_5	NSQ_2	data/MK_5_R1.fastq.gz	data/MK_5_R2.fastq.gz
MK_6	NSQsi_2	data/MK_6_R1.fastq.gz	data/MK_6_R2.fastq.gz
MK_7	HSQ_2	data/MK_7_R1.fastq.gz	data/MK_7_R2.fastq.gz
MK_8	HSQsi_2	data/MK_8_R1.fastq.gz	data/MK_8_R2.fastq.gz
MK_9	NSQ_3	data/MK_9_R1.fastq.gz	data/MK_9_R2.fastq.gz
MK_10	NSQsi_3	data/MK_10_R1.fastq.gz	data/MK_10_R2.fastq.gz
MK_11	HSQ_3	data/MK_11_R1.fastq.gz	data/MK_11_R2.fastq.gz
MK_12	HSQsi_3	data/MK_12_R1.fastq.gz	data/MK_12_R2.fastq.gz
MK_13	NSQ_4	data/MK_13_R1.fastq.gz	data/MK_13_R2.fastq.gz
MK_14	NSQsi_4	data/MK_14_R1.fastq.gz	data/MK_14_R2.fastq.gz
MK_15	HSQ_4	data/MK_15_R1.fastq.gz	data/MK_15_R2.fastq.gz
MK_16	HSQsi_4	data/MK_16_R1.fastq.gz	data/MK_16_R2.fastq.gz
