"";"Bezeichnung";"Gruppe";"Behandlung";"siRNA";"POXIE";"Q";"S";"ExpGroup";"CA9";"ANGPTL4";"BNIP3L";"EPHA3";"SPAG4";"ALDOC";"LDHA";"PGK1";"PPFIA4";"ALDOA";"ENO1";"HK2";"PKM";"IGFBP3";"PDK1";"PFKFB4";"SLC2A1";"CA12";"PFKFB3";"HIF1A";"P4HA1";"VEGFA";"EGLN3";"UCN";"CRABP1";"LOX";"SLC25A43";"DCTPP1";"TMEM45A";"ZP1";"RAB20";"GPR160";"CYBRD1";"CCL28";"RASSF4";"CD274";"NDRG1";"GAPDH";"SLC2A3";"ENO2";"CDC25A";"GPI";"HK1";"PFKL";"PGM1";"PPARGC1B";"TGFB2";"TPI1"
"1";"Ko_1";"C";"C";"NoSi";"N";0;0;"C_NoSi_N";100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
"2";"Ko_2";"C";"C";"NoSi";"N";0;0;"C_NoSi_N";131,9507910773;174,1101126592;141,4213562373;400;162,4504792712;282,8427124746;107,1773462536;107,1773462536;428,7093850145;151,571656651;131,9507910773;131,9507910773;162,4504792712;107,1773462536;141,4213562373;141,4213562373;151,571656651;200;246,228882669;174,1101126592;174,1101126592;151,571656651;200;151,571656651;263,9015821546;186,6065983074;131,9507910773;100;114,8698354997;229,7396709994;141,4213562373;141,4213562373;151,571656651;123,1144413345;200;123,1144413345;114,87;174,11;151,571656651;186,6065983074;131,9507910773;131,9507910773;151,571656651;151,57;123,1144413345;174,1101126592;214,3546925073;174,1101126592
"3";"Ko_3";"C";"C";"NoSi";"N";0;0;"C_NoSi_N";200;492,457765338;174,1101126592;162,4504792712;263,9015821546;282,8427124746;100;131,9507910773;649,801917085;200;123,1144413345;141,4213562373;151,571656651;214,3546925073;151,571656651;162,4504792712;123,1144413345;141,4213562373;174,1101126592;200;151,571656651;174,1101126592;229,7396709994;186,6065983074;324,9009585425;200;131,9507910773;131,9507910773;114,8698354997;348,2202253185;186,6065983074;141,4213562373;162,4504792712;200;303,1433133021;114,8698354997;151,57;200;151,571656651;162,4504792712;131,9507910773;131,9507910773;162,4504792712;200;123,1144413345;214,3546925073;324,9009585425;162,4504792712
"4";"Ko_4";"C";"C";"NoSi";"N";0;0;"C_NoSi_N";214,3546925073;348,2202253185;151,571656651;214,3546925073;214,3546925073;151,571656651;87,0550563296;70,7106781187;649,801917085;174,1101126592;141,4213562373;123,1144413345;123,1144413345;107,1773462536;141,4213562373;151,571656651;107,1773462536;246,228882669;229,7396709994;107,1773462536;162,4504792712;107,1773462536;174,1101126592;162,4504792712;246,228882669;324,9009585425;107,1773462536;151,571656651;93,3032991537;303,1433133021;174,1101126592;186,6065983074;151,571656651;141,4213562373;246,228882669;61,5572206672;131,95;186,61;131,9507910773;174,1101126592;114,8698354997;141,4213562373;151,571656651;162,45;123,1144413345;246,228882669;214,3546925073;151,571656651
"5";"Ko_H_1";"C";"C";"NoSi";"H";0;0;"C_NoSi_H";12800;2599,20766834;348,2202253185;7879,3242454075;800;6859,3501602323;162,4504792712;186,6065983074;10396,8306733598;400;151,571656651;400;81,2252396356;348,2202253185;348,2202253185;303,1433133021;229,7396709994;527,8031643092;527,8031643092;53,5886731268;800;151,571656651;2111,2126572366;348,2202253184;1492,8527864589;1212,5732532083;131,9507910773;50;649,801917085;4525,4833995939;400;303,1433133021;107,1773462536;246,228882669;1600;151,571656651;2425,15;303,14;303,1433133021;527,8031643092;28,7174588749;141,4213562373;229,7396709994;214,35;200;18,9464570814;65,9753955386;186,6065983074
"6";"Ko_H_2";"C";"C";"NoSi";"H";0;0;"C_NoSi_H";11143,0472101904;2425,1465064166;324,9009585425;9050,9667991878;857,418770029;10396,8306733598;151,571656651;114,8698354997;9700,5860256666;373,2131966147;186,6065983074;459,4793419988;174,1101126592;400;400;400;246,228882669;492,457765338;649,801917085;61,5572206672;649,801917085;114,8698354997;2785,7618025476;348,2202253184;1714,8375400581;1392,8809012738;123,1144413345;81,2252396356;800;4850,2930128333;428,7093850145;246,228882669;141,4213562373;282,8427124746;1714,8375400581;100;2425,15;348,22;65,9753955386;565,6854249492;35,3553390593;186,6065983074;282,8427124746;282,84;246,228882669;14,3587294375;107,1773462536;214,3546925073
"7";"Ko_H_3";"C";"C";"NoSi";"H";0;0;"C_NoSi_H";10396,8306733598;2599,20766834;373,2131966147;11143,0472101904;1055,6063286183;7351,669471981;123,1144413345;151,571656651;10396,8306733598;565,6854249492;200;428,7093850145;107,1773462536;373,2131966147;428,7093850145;428,7093850145;229,7396709994;400;606,2866266042;75,7858283255;565,6854249492;131,9507910773;2262,741699797;246,228882669;1837,9173679953;1055,6063286183;123,1144413345;65,9753955386;649,801917085;5971,4111458356;373,2131966147;303,1433133021;162,4504792712;324,9009585425;1714,8375400581;100;3939,66;373,21;303,1433133021;606,2866266042;57,4349177499;162,4504792712;400;303,14;229,7396709994;40,6126198178;162,4504792712;263,9015821546
"8";"Ko_H_4";"C";"C";"NoSi";"H";0;0;"C_NoSi_H";14703,338943962;2425,1465064166;303,1433133021;9050,9667991878;918,9586839976;8444,8506289465;93,3032991537;123,1144413345;7351,669471981;428,7093850145;200;373,2131966147;141,4213562373;282,8427124746;348,2202253185;459,4793419988;229,7396709994;459,4793419988;606,2866266042;70,7106781187;696,4404506369;131,9507910773;2599,20766834;373,2131966147;1600;649,801917085;131,9507910773;61,5572206672;606,2866266042;5198,4153366799;324,9009585425;214,3546925073;151,571656651;324,9009585425;1837,9173679953;57,4349177499;3200;348,22;428,7093850145;459,4793419988;46,6516495768;200;282,8427124746;282,84;229,7396709994;35,3553390593;81,2252396356;200
"9";"Kosi_1";"Csi";"C";"Si";"N";0;0;"C_Si_N";6,6985841409;400;131,9507910773;87,0550563296;174,1101126592;65,9753955386;131,9507910773;131,9507910773;303,1433133021;151,571656651;114,8698354997;107,1773462536;100;87,0550563296;141,4213562373;174,1101126592;100;114,8698354997;162,4504792712;21,7637640824;174,1101126592;151,571656651;174,1101126592;151,571656651;200;303,1433133021;53,5886731268;93,3032991537;162,4504792712;214,3546925073;174,1101126592;123,1144413345;75,7858283255;151,571656651;174,1101126592;81,2252396356;114,87;141,42;229,7396709994;141,4213562373;162,4504792712;114,8698354997;151,571656651;114,87;131,9507910773;229,7396709994;263,9015821546;151,571656651
"10";"Kosi_2";"Csi";"C";"Si";"N";0;0;"C_Si_N";26,7943365634;400;141,4213562373;162,4504792712;174,1101126592;100;87,0550563296;87,0550563296;229,7396709994;162,4504792712;123,1144413345;123,1144413345;162,4504792712;87,0550563296;151,571656651;151,571656651;114,8698354997;151,571656651;282,8427124746;26,7943365634;186,6065983074;151,571656651;214,3546925073;131,9507910773;303,1433133021;200;50;61,5572206672;141,4213562373;214,3546925073;151,571656651;131,9507910773;81,2252396356;141,4213562373;200;93,3032991537;107,18;186,61;263,9015821546;200;246,228882669;131,9507910773;162,4504792712;174,11;141,4213562373;214,3546925073;324,9009585425;174,1101126592
